State,Year,Gender,Total
A & N Islands,2001,Female,250
A & N Islands,2001,Male,395
A & N Islands,2002,Female,265
A & N Islands,2002,Male,455
A & N Islands,2003,Female,215
A & N Islands,2003,Male,350
A & N Islands,2004,Female,205
A & N Islands,2004,Male,405
A & N Islands,2005,Female,265
A & N Islands,2005,Male,430
A & N Islands,2006,Female,185
A & N Islands,2006,Male,480
A & N Islands,2007,Female,280
A & N Islands,2007,Male,495
A & N Islands,2008,Female,225
A & N Islands,2008,Male,489
A & N Islands,2009,Female,225
A & N Islands,2009,Male,430
A & N Islands,2010,Female,220
A & N Islands,2010,Male,560
A & N Islands,2011,Female,210
A & N Islands,2011,Male,470
A & N Islands,2012,Female,205
A & N Islands,2012,Male,400
Andhra Pradesh,2001,Female,20715
Andhra Pradesh,2001,Male,31895
Andhra Pradesh,2002,Female,20610
Andhra Pradesh,2002,Male,37855
Andhra Pradesh,2003,Female,19480
Andhra Pradesh,2003,Male,37565
Andhra Pradesh,2004,Female,22220
Andhra Pradesh,2004,Male,45410
Andhra Pradesh,2005,Female,22885
Andhra Pradesh,2005,Male,44325
Andhra Pradesh,2006,Female,22065
Andhra Pradesh,2006,Male,44315
Andhra Pradesh,2007,Female,24665
Andhra Pradesh,2007,Male,49745
Andhra Pradesh,2008,Female,23124
Andhra Pradesh,2008,Male,48605
Andhra Pradesh,2009,Female,23065
Andhra Pradesh,2009,Male,49435
Andhra Pradesh,2010,Female,24770
Andhra Pradesh,2010,Male,54735
Andhra Pradesh,2011,Female,24785
Andhra Pradesh,2011,Male,50600
Andhra Pradesh,2012,Female,23555
Andhra Pradesh,2012,Male,47635
Arunachal Pradesh,2001,Female,175
Arunachal Pradesh,2001,Male,380
Arunachal Pradesh,2002,Female,215
Arunachal Pradesh,2002,Male,355
Arunachal Pradesh,2003,Female,135
Arunachal Pradesh,2003,Male,270
Arunachal Pradesh,2004,Female,150
Arunachal Pradesh,2004,Male,245
Arunachal Pradesh,2005,Female,105
Arunachal Pradesh,2005,Male,245
Arunachal Pradesh,2006,Female,165
Arunachal Pradesh,2006,Male,480
Arunachal Pradesh,2007,Female,154
Arunachal Pradesh,2007,Male,490
Arunachal Pradesh,2008,Female,165
Arunachal Pradesh,2008,Male,384
Arunachal Pradesh,2009,Female,165
Arunachal Pradesh,2009,Male,384
Arunachal Pradesh,2010,Female,200
Arunachal Pradesh,2010,Male,455
Arunachal Pradesh,2011,Female,175
Arunachal Pradesh,2011,Male,495
Arunachal Pradesh,2012,Female,150
Arunachal Pradesh,2012,Male,496
Assam,2001,Female,4050
Assam,2001,Male,9180
Assam,2002,Female,4040
Assam,2002,Male,8510
Assam,2003,Female,4600
Assam,2003,Male,8363
Assam,2004,Female,4453
Assam,2004,Male,9725
Assam,2005,Female,4475
Assam,2005,Male,9734
Assam,2006,Female,4575
Assam,2006,Male,10580
Assam,2007,Female,4721
Assam,2007,Male,10580
Assam,2008,Female,5095
Assam,2008,Male,9850
Assam,2009,Female,5420
Assam,2009,Male,9410
Assam,2010,Female,4835
Assam,2010,Male,10130
Assam,2011,Female,4500
Assam,2011,Male,9130
Assam,2012,Female,4360
Assam,2012,Male,11960
Bihar,2001,Female,1480
Bihar,2001,Male,1535
Bihar,2002,Female,1470
Bihar,2002,Male,2130
Bihar,2003,Female,1229
Bihar,2003,Male,1755
Bihar,2004,Female,695
Bihar,2004,Male,1060
Bihar,2005,Female,1080
Bihar,2005,Male,1635
Bihar,2006,Female,1595
Bihar,2006,Male,1495
Bihar,2007,Female,2155
Bihar,2007,Male,2670
Bihar,2008,Female,2030
Bihar,2008,Male,3045
Bihar,2009,Female,2685
Bihar,2009,Male,2570
Bihar,2010,Female,2570
Bihar,2010,Male,3560
Bihar,2011,Female,1745
Bihar,2011,Male,2230
Bihar,2012,Female,1520
Bihar,2012,Male,2275
Chandigarh,2001,Female,155
Chandigarh,2001,Male,195
Chandigarh,2002,Female,170
Chandigarh,2002,Male,265
Chandigarh,2003,Female,175
Chandigarh,2003,Male,340
Chandigarh,2004,Female,115
Chandigarh,2004,Male,260
Chandigarh,2005,Female,130
Chandigarh,2005,Male,315
Chandigarh,2006,Female,120
Chandigarh,2006,Male,280
Chandigarh,2007,Female,110
Chandigarh,2007,Male,298
Chandigarh,2008,Female,125
Chandigarh,2008,Male,290
Chandigarh,2009,Female,155
Chandigarh,2009,Male,219
Chandigarh,2010,Female,200
Chandigarh,2010,Male,155
Chandigarh,2011,Female,240
Chandigarh,2011,Male,285
Chandigarh,2012,Female,192
Chandigarh,2012,Male,375
Chhattisgarh,2001,Female,6851
Chhattisgarh,2001,Male,13200
Chhattisgarh,2002,Female,6605
Chhattisgarh,2002,Male,13145
Chhattisgarh,2003,Female,6635
Chhattisgarh,2003,Male,12960
Chhattisgarh,2004,Female,7545
Chhattisgarh,2004,Male,14930
Chhattisgarh,2005,Female,7880
Chhattisgarh,2005,Male,16525
Chhattisgarh,2006,Female,7830
Chhattisgarh,2006,Male,15300
Chhattisgarh,2007,Female,7915
Chhattisgarh,2007,Male,16280
Chhattisgarh,2008,Female,8485
Chhattisgarh,2008,Male,16240
Chhattisgarh,2009,Female,9645
Chhattisgarh,2009,Male,19770
Chhattisgarh,2010,Female,9838
Chhattisgarh,2010,Male,22725
Chhattisgarh,2011,Female,11145
Chhattisgarh,2011,Male,22635
Chhattisgarh,2012,Female,8200
Chhattisgarh,2012,Male,20070
D & N Haveli,2001,Female,75
D & N Haveli,2001,Male,175
D & N Haveli,2002,Female,90
D & N Haveli,2002,Male,160
D & N Haveli,2003,Female,110
D & N Haveli,2003,Male,150
D & N Haveli,2004,Female,95
D & N Haveli,2004,Male,100
D & N Haveli,2005,Female,140
D & N Haveli,2005,Male,205
D & N Haveli,2006,Female,95
D & N Haveli,2006,Male,115
D & N Haveli,2007,Female,160
D & N Haveli,2007,Male,220
D & N Haveli,2008,Female,140
D & N Haveli,2008,Male,160
D & N Haveli,2009,Female,130
D & N Haveli,2009,Male,150
D & N Haveli,2010,Female,130
D & N Haveli,2010,Male,185
D & N Haveli,2011,Female,110
D & N Haveli,2011,Male,205
D & N Haveli,2012,Female,125
D & N Haveli,2012,Male,205
Daman & Diu,2001,Female,20
Daman & Diu,2001,Male,49
Daman & Diu,2002,Female,10
Daman & Diu,2002,Male,75
Daman & Diu,2003,Female,30
Daman & Diu,2003,Male,88
Daman & Diu,2004,Female,40
Daman & Diu,2004,Male,25
Daman & Diu,2005,Female,35
Daman & Diu,2005,Male,124
Daman & Diu,2006,Female,40
Daman & Diu,2006,Male,70
Daman & Diu,2007,Female,45
Daman & Diu,2007,Male,30
Daman & Diu,2008,Female,25
Daman & Diu,2008,Male,70
Daman & Diu,2009,Female,40
Daman & Diu,2009,Male,75
Daman & Diu,2010,Female,60
Daman & Diu,2010,Male,95
Daman & Diu,2011,Female,75
Daman & Diu,2011,Male,90
Daman & Diu,2012,Female,55
Daman & Diu,2012,Male,125
Delhi (Ut),2001,Female,2545
Delhi (Ut),2001,Male,3650
Delhi (Ut),2002,Female,2050
Delhi (Ut),2002,Male,3215
Delhi (Ut),2003,Female,2060
Delhi (Ut),2003,Male,3705
Delhi (Ut),2004,Female,2283
Delhi (Ut),2004,Male,3994
Delhi (Ut),2005,Female,2339
Delhi (Ut),2005,Male,3885
Delhi (Ut),2006,Female,2658
Delhi (Ut),2006,Male,4800
Delhi (Ut),2007,Female,2575
Delhi (Ut),2007,Male,4830
Delhi (Ut),2008,Female,2536
Delhi (Ut),2008,Male,3975
Delhi (Ut),2009,Female,2720
Delhi (Ut),2009,Male,4665
Delhi (Ut),2010,Female,2908
Delhi (Ut),2010,Male,4805
Delhi (Ut),2011,Female,2740
Delhi (Ut),2011,Male,5840
Delhi (Ut),2012,Female,3264
Delhi (Ut),2012,Male,6230
Goa,2001,Female,445
Goa,2001,Male,835
Goa,2002,Female,415
Goa,2002,Male,1130
Goa,2003,Female,435
Goa,2003,Male,1065
Goa,2004,Female,510
Goa,2004,Male,1060
Goa,2005,Female,425
Goa,2005,Male,985
Goa,2006,Female,460
Goa,2006,Male,915
Goa,2007,Female,460
Goa,2007,Male,890
Goa,2008,Female,520
Goa,2008,Male,911
Goa,2009,Female,467
Goa,2009,Male,915
Goa,2010,Female,430
Goa,2010,Male,1180
Goa,2011,Female,490
Goa,2011,Male,975
Goa,2012,Female,465
Goa,2012,Male,980
Gujarat,2001,Female,10710
Gujarat,2001,Male,13245
Gujarat,2002,Female,9686
Gujarat,2002,Male,13530
Gujarat,2003,Female,9580
Gujarat,2003,Male,13250
Gujarat,2004,Female,9618
Gujarat,2004,Male,14250
Gujarat,2005,Female,9315
Gujarat,2005,Male,14510
Gujarat,2006,Female,9932
Gujarat,2006,Male,15240
Gujarat,2007,Female,11025
Gujarat,2007,Male,16875
Gujarat,2008,Female,12143
Gujarat,2008,Male,18675
Gujarat,2009,Female,12424
Gujarat,2009,Male,18355
Gujarat,2010,Female,11970
Gujarat,2010,Male,19065
Gujarat,2011,Female,12350
Gujarat,2011,Male,19560
Gujarat,2012,Female,13740
Gujarat,2012,Male,21810
Haryana,2001,Female,3211
Haryana,2001,Male,6820
Haryana,2002,Female,3150
Haryana,2002,Male,7850
Haryana,2003,Female,3070
Haryana,2003,Male,8065
Haryana,2004,Female,3140
Haryana,2004,Male,7270
Haryana,2005,Female,2765
Haryana,2005,Male,7465
Haryana,2006,Female,2750
Haryana,2006,Male,8830
Haryana,2007,Female,2905
Haryana,2007,Male,9260
Haryana,2008,Female,3410
Haryana,2008,Male,9870
Haryana,2009,Female,3440
Haryana,2009,Male,9075
Haryana,2010,Female,3580
Haryana,2010,Male,10890
Haryana,2011,Female,3905
Haryana,2011,Male,12320
Haryana,2012,Female,3780
Haryana,2012,Male,10355
Himachal Pradesh,2001,Female,650
Himachal Pradesh,2001,Male,885
Himachal Pradesh,2002,Female,630
Himachal Pradesh,2002,Male,1040
Himachal Pradesh,2003,Female,730
Himachal Pradesh,2003,Male,1196
Himachal Pradesh,2004,Female,675
Himachal Pradesh,2004,Male,1165
Himachal Pradesh,2005,Female,725
Himachal Pradesh,2005,Male,1070
Himachal Pradesh,2006,Female,780
Himachal Pradesh,2006,Male,1505
Himachal Pradesh,2007,Female,720
Himachal Pradesh,2007,Male,1290
Himachal Pradesh,2008,Female,1063
Himachal Pradesh,2008,Male,2085
Himachal Pradesh,2009,Female,970
Himachal Pradesh,2009,Male,1830
Himachal Pradesh,2010,Female,963
Himachal Pradesh,2010,Male,1740
Himachal Pradesh,2011,Female,869
Himachal Pradesh,2011,Male,1345
Himachal Pradesh,2012,Female,866
Himachal Pradesh,2012,Male,1770
Jammu & Kashmir,2001,Female,310
Jammu & Kashmir,2001,Male,455
Jammu & Kashmir,2002,Female,440
Jammu & Kashmir,2002,Male,479
Jammu & Kashmir,2003,Female,375
Jammu & Kashmir,2003,Male,315
Jammu & Kashmir,2004,Female,305
Jammu & Kashmir,2004,Male,255
Jammu & Kashmir,2005,Female,490
Jammu & Kashmir,2005,Male,980
Jammu & Kashmir,2006,Female,542
Jammu & Kashmir,2006,Male,759
Jammu & Kashmir,2007,Female,405
Jammu & Kashmir,2007,Male,765
Jammu & Kashmir,2008,Female,665
Jammu & Kashmir,2008,Male,882
Jammu & Kashmir,2009,Female,765
Jammu & Kashmir,2009,Male,837
Jammu & Kashmir,2010,Female,685
Jammu & Kashmir,2010,Male,610
Jammu & Kashmir,2011,Female,713
Jammu & Kashmir,2011,Male,719
Jammu & Kashmir,2012,Female,1110
Jammu & Kashmir,2012,Male,960
Jharkhand,2001,Female,545
Jharkhand,2001,Male,705
Jharkhand,2002,Female,595
Jharkhand,2002,Male,765
Jharkhand,2003,Female,595
Jharkhand,2003,Male,765
Jharkhand,2004,Female,920
Jharkhand,2004,Male,1165
Jharkhand,2005,Female,1425
Jharkhand,2005,Male,2615
Jharkhand,2006,Female,1675
Jharkhand,2006,Male,2605
Jharkhand,2007,Female,2027
Jharkhand,2007,Male,4400
Jharkhand,2008,Female,1545
Jharkhand,2008,Male,3010
Jharkhand,2009,Female,1830
Jharkhand,2009,Male,3720
Jharkhand,2010,Female,2185
Jharkhand,2010,Male,3973
Jharkhand,2011,Female,1935
Jharkhand,2011,Male,4125
Jharkhand,2012,Female,2405
Jharkhand,2012,Male,4190
Karnataka,2001,Female,20050
Karnataka,2001,Male,39355
Karnataka,2002,Female,20950
Karnataka,2002,Male,40400
Karnataka,2003,Female,19930
Karnataka,2003,Male,41875
Karnataka,2004,Female,19595
Karnataka,2004,Male,40090
Karnataka,2005,Female,19250
Karnataka,2005,Male,38535
Karnataka,2006,Female,20820
Karnataka,2006,Male,40240
Karnataka,2007,Female,19560
Karnataka,2007,Male,41960
Karnataka,2008,Female,20030
Karnataka,2008,Male,41080
Karnataka,2009,Female,19930
Karnataka,2009,Male,41045
Karnataka,2010,Female,21220
Karnataka,2010,Male,42035
Karnataka,2011,Female,20750
Karnataka,2011,Male,42360
Karnataka,2012,Female,20785
Karnataka,2012,Male,42980
Kerala,2001,Female,13925
Kerala,2001,Male,33935
Kerala,2002,Female,13225
Kerala,2002,Male,35825
Kerala,2003,Female,12515
Kerala,2003,Male,34675
Kerala,2004,Female,12275
Kerala,2004,Male,32990
Kerala,2005,Female,12070
Kerala,2005,Male,34150
Kerala,2006,Female,12215
Kerala,2006,Male,32915
Kerala,2007,Female,11870
Kerala,2007,Male,32940
Kerala,2008,Female,12195
Kerala,2008,Male,30650
Kerala,2009,Female,12165
Kerala,2009,Male,31610
Kerala,2010,Female,11200
Kerala,2010,Male,31730
Kerala,2011,Female,11093
Kerala,2011,Male,30328
Kerala,2012,Female,10405
Kerala,2012,Male,32045
Lakshadweep,2001,Female,0
Lakshadweep,2001,Male,0
Lakshadweep,2002,Female,0
Lakshadweep,2002,Male,0
Lakshadweep,2003,Female,5
Lakshadweep,2003,Male,5
Lakshadweep,2004,Female,0
Lakshadweep,2004,Male,0
Lakshadweep,2005,Female,0
Lakshadweep,2005,Male,0
Lakshadweep,2006,Female,5
Lakshadweep,2006,Male,5
Lakshadweep,2007,Female,10
Lakshadweep,2007,Male,5
Lakshadweep,2008,Female,0
Lakshadweep,2008,Male,0
Lakshadweep,2009,Female,5
Lakshadweep,2009,Male,0
Lakshadweep,2010,Female,5
Lakshadweep,2010,Male,0
Lakshadweep,2011,Female,0
Lakshadweep,2011,Male,0
Lakshadweep,2012,Female,0
Lakshadweep,2012,Male,5
