State,Year,Gender,Total
Madhya Pradesh,2001,Female,16620
Madhya Pradesh,2001,Male,17680
Madhya Pradesh,2002,Female,16600
Madhya Pradesh,2002,Male,17895
Madhya Pradesh,2003,Female,16120
Madhya Pradesh,2003,Male,17690
Madhya Pradesh,2004,Female,15805
Madhya Pradesh,2004,Male,18170
Madhya Pradesh,2005,Female,12985
Madhya Pradesh,2005,Male,14255
Madhya Pradesh,2006,Female,14660
Madhya Pradesh,2006,Male,17515
Madhya Pradesh,2007,Female,14295
Madhya Pradesh,2007,Male,17350
Madhya Pradesh,2008,Female,16320
Madhya Pradesh,2008,Male,21825
Madhya Pradesh,2009,Female,20065
Madhya Pradesh,2009,Male,25500
Madhya Pradesh,2010,Female,19580
Madhya Pradesh,2010,Male,25435
Madhya Pradesh,2011,Female,20095
Madhya Pradesh,2011,Male,26200
Madhya Pradesh,2012,Female,20005
Madhya Pradesh,2012,Male,28870
Maharashtra,2001,Female,26400
Maharashtra,2001,Male,46690
Maharashtra,2002,Female,25410
Maharashtra,2002,Male,47235
Maharashtra,2003,Female,24750
Maharashtra,2003,Male,49050
Maharashtra,2004,Female,24130
Maharashtra,2004,Male,49515
Maharashtra,2005,Female,24115
Maharashtra,2005,Male,48015
Maharashtra,2006,Female,24920
Maharashtra,2006,Male,52550
Maharashtra,2007,Female,23820
Maharashtra,2007,Male,52100
Maharashtra,2008,Female,22425
Maharashtra,2008,Male,49445
Maharashtra,2009,Female,22575
Maharashtra,2009,Male,48925
Maharashtra,2010,Female,25290
Maharashtra,2010,Male,54290
Maharashtra,2011,Female,25300
Maharashtra,2011,Male,54435
Maharashtra,2012,Female,24040
Maharashtra,2012,Male,56520
Manipur,2001,Female,85
Manipur,2001,Male,120
Manipur,2002,Female,45
Manipur,2002,Male,150
Manipur,2003,Female,25
Manipur,2003,Male,105
Manipur,2004,Female,45
Manipur,2004,Male,159
Manipur,2005,Female,20
Manipur,2005,Male,114
Manipur,2006,Female,60
Manipur,2006,Male,120
Manipur,2007,Female,55
Manipur,2007,Male,140
Manipur,2008,Female,55
Manipur,2008,Male,115
Manipur,2009,Female,44
Manipur,2009,Male,90
Manipur,2010,Female,65
Manipur,2010,Male,120
Manipur,2011,Female,75
Manipur,2011,Male,90
Manipur,2012,Female,90
Manipur,2012,Male,115
Meghalaya,2001,Female,90
Meghalaya,2001,Male,345
Meghalaya,2002,Female,90
Meghalaya,2002,Male,242
Meghalaya,2003,Female,45
Meghalaya,2003,Male,160
Meghalaya,2004,Female,80
Meghalaya,2004,Male,195
Meghalaya,2005,Female,105
Meghalaya,2005,Male,250
Meghalaya,2006,Female,115
Meghalaya,2006,Male,344
Meghalaya,2007,Female,135
Meghalaya,2007,Male,300
Meghalaya,2008,Female,139
Meghalaya,2008,Male,285
Meghalaya,2009,Female,222
Meghalaya,2009,Male,335
Meghalaya,2010,Female,138
Meghalaya,2010,Male,399
Meghalaya,2011,Female,209
Meghalaya,2011,Male,552
Meghalaya,2012,Female,190
Meghalaya,2012,Male,450
Mizoram,2001,Female,40
Mizoram,2001,Male,230
Mizoram,2002,Female,50
Mizoram,2002,Male,280
Mizoram,2003,Female,55
Mizoram,2003,Male,205
Mizoram,2004,Female,35
Mizoram,2004,Male,265
Mizoram,2005,Female,40
Mizoram,2005,Male,235
Mizoram,2006,Female,50
Mizoram,2006,Male,298
Mizoram,2007,Female,30
Mizoram,2007,Male,110
Mizoram,2008,Female,30
Mizoram,2008,Male,175
Mizoram,2009,Female,35
Mizoram,2009,Male,304
Mizoram,2010,Female,45
Mizoram,2010,Male,335
Mizoram,2011,Female,65
Mizoram,2011,Male,385
Mizoram,2012,Female,80
Mizoram,2012,Male,777
Nagaland,2001,Female,75
Nagaland,2001,Male,125
Nagaland,2002,Female,40
Nagaland,2002,Male,95
Nagaland,2003,Female,25
Nagaland,2003,Male,84
Nagaland,2004,Female,30
Nagaland,2004,Male,125
Nagaland,2005,Female,30
Nagaland,2005,Male,105
Nagaland,2006,Female,45
Nagaland,2006,Male,95
Nagaland,2007,Female,34
Nagaland,2007,Male,82
Nagaland,2008,Female,50
Nagaland,2008,Male,160
Nagaland,2009,Female,29
Nagaland,2009,Male,124
Nagaland,2010,Female,5
Nagaland,2010,Male,55
Nagaland,2011,Female,40
Nagaland,2011,Male,125
Nagaland,2012,Female,30
Nagaland,2012,Male,120
Odisha,2001,Female,9815
Odisha,2001,Male,10439
Odisha,2002,Female,8785
Odisha,2002,Male,13155
Odisha,2003,Female,8400
Odisha,2003,Male,13700
Odisha,2004,Female,8355
Odisha,2004,Male,12720
Odisha,2005,Female,8270
Odisha,2005,Male,12770
Odisha,2006,Female,8460
Odisha,2006,Male,11865
Odisha,2007,Female,9100
Odisha,2007,Male,12440
Odisha,2008,Female,8745
Odisha,2008,Male,15775
Odisha,2009,Female,8990
Odisha,2009,Male,12835
Odisha,2010,Female,9125
Odisha,2010,Male,12150
Odisha,2011,Female,10905
Odisha,2011,Male,15300
Odisha,2012,Female,10655
Odisha,2012,Male,14480
Puducherry,2001,Female,1030
Puducherry,2001,Male,1615
Puducherry,2002,Female,785
Puducherry,2002,Male,2050
Puducherry,2003,Female,970
Puducherry,2003,Male,1940
Puducherry,2004,Female,1004
Puducherry,2004,Male,1690
Puducherry,2005,Female,990
Puducherry,2005,Male,1700
Puducherry,2006,Female,885
Puducherry,2006,Male,1745
Puducherry,2007,Female,990
Puducherry,2007,Male,1595
Puducherry,2008,Female,865
Puducherry,2008,Male,1670
Puducherry,2009,Female,960
Puducherry,2009,Male,1630
Puducherry,2010,Female,875
Puducherry,2010,Male,1665
Puducherry,2011,Female,805
Puducherry,2011,Male,1980
Puducherry,2012,Female,845
Puducherry,2012,Male,1860
Punjab,2001,Female,1260
Punjab,2001,Male,1980
Punjab,2002,Female,550
Punjab,2002,Male,1985
Punjab,2003,Female,625
Punjab,2003,Male,2530
Punjab,2004,Female,645
Punjab,2004,Male,2580
Punjab,2005,Female,530
Punjab,2005,Male,2410
Punjab,2006,Female,810
Punjab,2006,Male,3050
Punjab,2007,Female,1075
Punjab,2007,Male,3160
Punjab,2008,Female,1130
Punjab,2008,Male,3215
Punjab,2009,Female,1060
Punjab,2009,Male,3175
Punjab,2010,Female,1005
Punjab,2010,Male,3595
Punjab,2011,Female,1055
Punjab,2011,Male,3775
Punjab,2012,Female,1230
Punjab,2012,Male,3920
Rajasthan,2001,Female,6180
Rajasthan,2001,Male,9795
Rajasthan,2002,Female,5780
Rajasthan,2002,Male,10460
Rajasthan,2003,Female,6360
Rajasthan,2003,Male,11945
Rajasthan,2004,Female,6195
Rajasthan,2004,Male,12430
Rajasthan,2005,Female,6599
Rajasthan,2005,Male,14290
Rajasthan,2006,Female,6765
Rajasthan,2006,Male,14550
Rajasthan,2007,Female,6415
Rajasthan,2007,Male,15770
Rajasthan,2008,Female,7820
Rajasthan,2008,Male,18010
Rajasthan,2009,Female,7770
Rajasthan,2009,Male,17555
Rajasthan,2010,Female,7775
Rajasthan,2010,Male,16825
Rajasthan,2011,Female,6660
Rajasthan,2011,Male,15080
Rajasthan,2012,Female,7970
Rajasthan,2012,Male,16135
Sikkim,2001,Female,160
Sikkim,2001,Male,310
Sikkim,2002,Female,120
Sikkim,2002,Male,263
Sikkim,2003,Female,185
Sikkim,2003,Male,340
Sikkim,2004,Female,210
Sikkim,2004,Male,278
Sikkim,2005,Female,235
Sikkim,2005,Male,310
Sikkim,2006,Female,235
Sikkim,2006,Male,490
Sikkim,2007,Female,190
Sikkim,2007,Male,420
Sikkim,2008,Female,355
Sikkim,2008,Male,1080
Sikkim,2009,Female,594
Sikkim,2009,Male,610
Sikkim,2010,Female,225
Sikkim,2010,Male,1175
Sikkim,2011,Female,385
Sikkim,2011,Male,531
Sikkim,2012,Female,425
Sikkim,2012,Male,480
Tamil Nadu,2001,Female,20810
Tamil Nadu,2001,Male,35640
Tamil Nadu,2002,Female,21219
Tamil Nadu,2002,Male,34915
Tamil Nadu,2003,Female,23590
Tamil Nadu,2003,Male,35770
Tamil Nadu,2004,Female,24465
Tamil Nadu,2004,Male,39730
Tamil Nadu,2005,Female,22845
Tamil Nadu,2005,Male,37535
Tamil Nadu,2006,Female,24360
Tamil Nadu,2006,Male,37545
Tamil Nadu,2007,Female,25620
Tamil Nadu,2007,Male,43435
Tamil Nadu,2008,Female,26910
Tamil Nadu,2008,Male,45215
Tamil Nadu,2009,Female,27321
Tamil Nadu,2009,Male,44511
Tamil Nadu,2010,Female,30045
Tamil Nadu,2010,Male,52760
Tamil Nadu,2011,Female,28405
Tamil Nadu,2011,Male,51410
Tamil Nadu,2012,Female,30895
Tamil Nadu,2012,Male,53740
Total (All India),2001,Female,84384
Total (All India),2001,Male,132628
Total (All India),2002,Female,82170
Total (All India),2002,Male,138664
Total (All India),2003,Female,81260
Total (All India),2003,Male,140442
Total (All India),2004,Female,82092
Total (All India),2004,Male,145302
Total (All India),2005,Female,81996
Total (All India),2005,Male,145832
Total (All India),2006,Female,84820
Total (All India),2006,Male,151404
Total (All India),2007,Female,86684
Total (All India),2007,Male,158590
Total (All India),2008,Female,88946
Total (All India),2008,Male,161088
Total (All India),2009,Female,91360
Total (All India),2009,Male,162942
Total (All India),2010,Female,94838
Total (All India),2010,Male,174360
Total (All India),2011,Female,95492
Total (All India),2011,Male,175678
Total (All India),2012,Female,93984
Total (All India),2012,Male,176906
Total (States),2001,Female,82754
Total (States),2001,Male,130196
Total (States),2002,Female,80822
Total (States),2002,Male,136176
Total (States),2003,Female,79834
Total (States),2003,Male,137810
Total (States),2004,Female,80594
Total (States),2004,Male,142712
Total (States),2005,Female,80436
Total (States),2005,Male,143168
Total (States),2006,Female,83224
Total (States),2006,Male,148406
Total (States),2007,Female,85016
Total (States),2007,Male,155598
Total (States),2008,Female,87378
Total (States),2008,Male,158426
Total (States),2009,Female,89666
Total (States),2009,Male,160074
Total (States),2010,Female,93078
Total (States),2010,Male,171374
Total (States),2011,Female,93820
Total (States),2011,Male,172130
Total (States),2012,Female,92108
Total (States),2012,Male,173226
Total (Uts),2001,Female,1630
Total (Uts),2001,Male,2432
Total (Uts),2002,Female,1348
Total (Uts),2002,Male,2488
Total (Uts),2003,Female,1426
Total (Uts),2003,Male,2632
Total (Uts),2004,Female,1498
Total (Uts),2004,Male,2590
Total (Uts),2005,Female,1560
Total (Uts),2005,Male,2664
Total (Uts),2006,Female,1596
Total (Uts),2006,Male,2998
Total (Uts),2007,Female,1668
Total (Uts),2007,Male,2992
Total (Uts),2008,Female,1568
Total (Uts),2008,Male,2662
Total (Uts),2009,Female,1694
Total (Uts),2009,Male,2868
Total (Uts),2010,Female,1760
Total (Uts),2010,Male,2986
Total (Uts),2011,Female,1672
Total (Uts),2011,Male,3548
Total (Uts),2012,Female,1876
Total (Uts),2012,Male,3680
Tripura,2001,Female,1955
Tripura,2001,Male,2315
Tripura,2002,Female,1430
Tripura,2002,Male,2461
Tripura,2003,Female,1780
Tripura,2003,Male,2440
Tripura,2004,Female,1685
Tripura,2004,Male,2165
Tripura,2005,Female,1570
Tripura,2005,Male,2005
Tripura,2006,Female,1685
Tripura,2006,Male,2140
Tripura,2007,Female,1430
Tripura,2007,Male,2095
Tripura,2008,Female,1550
Tripura,2008,Male,2210
Tripura,2009,Female,1354
Tripura,2009,Male,2335
Tripura,2010,Female,1420
Tripura,2010,Male,2205
Tripura,2011,Female,1280
Tripura,2011,Male,2235
Tripura,2012,Female,1420
Tripura,2012,Male,2800
Uttar Pradesh,2001,Female,8575
Uttar Pradesh,2001,Male,9005
Uttar Pradesh,2002,Female,9620
Uttar Pradesh,2002,Male,11630
Uttar Pradesh,2003,Female,8380
Uttar Pradesh,2003,Male,9935
Uttar Pradesh,2004,Female,8415
Uttar Pradesh,2004,Male,9770
Uttar Pradesh,2005,Female,8385
Uttar Pradesh,2005,Male,8860
Uttar Pradesh,2006,Female,6690
Uttar Pradesh,2006,Male,8805
Uttar Pradesh,2007,Female,9350
Uttar Pradesh,2007,Male,10260
Uttar Pradesh,2008,Female,9545
Uttar Pradesh,2008,Male,10895
Uttar Pradesh,2009,Female,9595
Uttar Pradesh,2009,Male,11195
Uttar Pradesh,2010,Female,9205
Uttar Pradesh,2010,Male,8935
Uttar Pradesh,2011,Female,10630
Uttar Pradesh,2011,Male,13565
Uttar Pradesh,2012,Female,9635
Uttar Pradesh,2012,Male,12472
Uttarakhand,2001,Female,645
Uttarakhand,2001,Male,910
Uttarakhand,2002,Female,780
Uttarakhand,2002,Male,1025
Uttarakhand,2003,Female,643
Uttarakhand,2003,Male,1310
Uttarakhand,2004,Female,445
Uttarakhand,2004,Male,740
Uttarakhand,2005,Female,465
Uttarakhand,2005,Male,900
Uttarakhand,2006,Female,765
Uttarakhand,2006,Male,865
Uttarakhand,2007,Female,588
Uttarakhand,2007,Male,650
Uttarakhand,2008,Female,435
Uttarakhand,2008,Male,513
Uttarakhand,2009,Female,700
Uttarakhand,2009,Male,1010
Uttarakhand,2010,Female,582
Uttarakhand,2010,Male,820
Uttarakhand,2011,Female,625
Uttarakhand,2011,Male,960
Uttarakhand,2012,Female,875
Uttarakhand,2012,Male,1245
West Bengal,2001,Female,30975
West Bengal,2001,Male,37475
West Bengal,2002,Female,29415
West Bengal,2002,Male,35620
West Bengal,2003,Female,29280
West Bengal,2003,Male,37120
West Bengal,2004,Female,28730
West Bengal,2004,Male,38305
West Bengal,2005,Female,32005
West Bengal,2005,Male,43070
West Bengal,2006,Female,33025
West Bengal,2006,Male,45600
West Bengal,2007,Female,31775
West Bengal,2007,Male,42525
West Bengal,2008,Female,32415
West Bengal,2008,Male,41845
West Bengal,2009,Female,30770
West Bengal,2009,Male,42470
West Bengal,2010,Female,33680
West Bengal,2010,Male,46505
West Bengal,2011,Female,34340
West Bengal,2011,Male,48120
West Bengal,2012,Female,18831
West Bengal,2012,Male,26040
